zp,descripcion,id_fecha,id_Grupo,id_Asunto,id_Hora,colonia,id_Lugar,calle2
315.0,SUR,2022-05-14,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,19:12,GRANJAS UNIDAS,INDIO SUMAS,INDIO JERONIMO
512.0,CENTRO,2022-05-17,PRIVACION DE LA LIBERTAD,PRIVACION DE LA LIBERTAD,01:30,PARQUE INDUSTRIAL SALVACAR,SANTIAGO TRONCOSO,INDEPENDENCIA
525.0,GOE,2022-05-19,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,16:25,VALLE FUNDADORES,ANDRES CASTRO AZCARATE,JUAN SEDEÐO
405.0,POLICIA COMERCIAL,2022-05-20,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,11:42,RINCONES DE SAN MARCOS,MANUEL GOMEZ MORIN,PUENTE DE ALVARADO
501.0,VALLE,2022-05-23,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,01:30,JARDINES DEL BOSQUE,BOSQUE DEL MANZANO,PASEO DE LA VICTORIA
525.0,UNEVID,2022-05-22,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,13:00,SENDEROS DE SAN ISIDRO,LEONARDO SOLIS BARRAZA,FEDERICO DE LA VEGA
628.0,POLICIA COMERCIAL,2022-07-21,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,23:10,KILOMETRO 29,SIERRA DE JALPAN,SIERRA DE TLAHUALILO
522.0,UNEVID,2022-07-23,ROBO A CASA HABITACION,ROBO A CASA HABITACION,10:32,LAS HACIENDAS,HACIENDA PONIENTE,HACIENDA LA CONCEPCION
525.0,SUR,2022-07-24,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,20:25,LAS HACIENDAS,HACIENDA LA TAPIA,HACIENDA CENTRAL
609.0,POLICIA COMERCIAL,2022-07-23,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,01:20,AEROPUERTO,GROSELLA,FRIJOL
204.0,POLICIA COMERCIAL,2022-07-19,CARTUCHOS DECOMISADOS,CARTUCHOS DECOMISADOS,19:00,MARGARITAS,TLAXCALA,CADETES DEL 47
213.0,POLICIA COMERCIAL,2022-07-21,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,01:20,REFORMA,OSCAR FLORES SANCHEZ,JUAN ESCUTIA
414.0,POLICIA COMERCIAL,2022-07-05,ROBO A NEGOCIO,ROBO FARDERO,20:20,USOS MIXTOS,TEOFILO BORUNDA,PASEO DE LA VICTORIA
216.0,CENTRO,2022-07-10,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,12:00,ARECCO,GENOVA,VENECIA
526.0,UNEVID,2022-07-16,ABUSO SEXUAL,ABUSO SEXUAL,02:32,PARAJES DE SAN JOSE,COSTA FUERTEVENTURA,CRISTINA LEON
518.0,GOE,2022-07-19,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,20:30,URBI VILLA DEL CEDRO,DON MANUEL TALAMAS CAMANDARI,MONTE BLANCO
202.0,POLICIA COMERCIAL,2022-07-18,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,22:06,HIDALGO,TLAXCALA,DAMIAN CARMONA
220.0,POLICIA COMERCIAL,2022-07-17,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,18:00,INFONAVIT CASAS GRANDES,CARLOS DICKENS,ROMULO GALLEGOS
220.0,POLICIA COMERCIAL,2022-07-15,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,19:22,DEL MARQUEZ,GOLONDRINAS,CARDENAL
505.0,GOE,2022-07-14,ROBO A NEGOCIO,ROBO FARDERO,17:49,ZARAGOZA D. B.,INDEPENDENCIA,HENEQUEN
505.0,POLICIA COMERCIAL,2022-07-01,ROBO OTROS,ROBO A TRANSEUNTES,14:30,ZARAGOZA D. B.,ZARAGOZA,INDEPENDENCIA
521.0,UNEVID,2022-07-21,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,00:03,PARAJES DEL SUR FRACCIONAMIENTO,MAR AZUL,BARRANCAS
618.0,VALLE,2022-07-01,PORTAR OBJETOS PELIG.,PORTAR OBJETOS PELIG.,18:36,VALLE DEL SOL,VALLE DEL CLAVEL,VALLE DE LAS MARGARITAS
613.0,POLICIA COMERCIAL,2022-07-03,ROBO A NEGOCIO,ROBO FARDERO,09:51,PARQUE INDUSTRIAL ZARAGOZA,ZARAGOZA,OSCAR FLORES SANCHEZ
503.0,POLICIA COMERCIAL,2022-07-22,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,02:28,BUENOS AIRES,ZARAGOZA,RAMON AGUAYO
606.0,POLICIA COMERCIAL,2022-07-22,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,03:30,INFONAVIT AMPLIACION AEROPUERTO,MANUEL JESUS CLOUTHIER,GROSELLA
521.0,CANINA,2022-07-20,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,20:30,PARAJES DEL SUR FRACCIONAMIENTO,TIERRA DE FUEGO,NEIVA
517.0,UNEVID,2022-07-24,LESIONES OTROS,LESIONES OTROS,23:04,PARAJES DE SAN JUAN,MONTE DE LOS OLIVOS,PASEO DE ORIENTE
628.0,POLICIA COMERCIAL,2022-07-25,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:34,KILOMETRO 28,SIERRA TAPALPA,SIERRA DE CHAMAL
522.0,CANINA,2022-07-26,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,20:30,LAS HACIENDAS,HACIENDA PONIENTE,HACIENDA LA CONCEPCION
209.0,POLICIA COMERCIAL,2022-03-07,HOMICIDIO C OTROS OBJETOS,HOMICIDIOS CAUSAS A DETERMINAR,13:50,PARTIDO ESCOBEDO,IGNACIO DE LA PEÐA,FERNANDO MONTES DE OCA
522.0,SUR,2022-03-07,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:35,LAS HACIENDAS,HACIENDA ORIENTE,HACIENDA LAS MERCEDES
625.0,SUR,2022-03-07,ROBO A NEGOCIO,ROBO FARDERO,17:40,VILLA RESIDENCIAL DEL REAL,CAÐON DE URIQUE,CAÐON CEROCAHUI
606.0,POLICIA COMERCIAL,2022-03-07,ROBO A NEGOCIO,ROBO A TIENDAS DE CONVENIENCIA,17:27,ERENDIRA,MANUEL JESUS CLOUTHIER,IXTAZIHUATL
